iter	Passed	Remaining
832	1984	397
833	1985	395
834	1987	392
835	1989	390
836	1992	387
837	1993	385
838	1995	382
839	1996	380
840	1997	377
841	1999	375
842	2000	372
843	2002	370
844	2005	367
845	2007	365
846	2008	362
847	2009	360
848	2011	357
849	2013	355
850	2014	352
851	2016	350
852	2017	347
853	2019	345
854	2021	342
855	2023	340
856	2024	337
857	2025	335
858	2027	332
859	2029	330
860	2032	328
861	2033	325
862	2035	323
863	2036	320
864	2038	318
865	2040	315
866	2042	313
867	2043	310
868	2046	308
869	2048	306
870	2050	303
871	2051	301
872	2053	298
873	2055	296
874	2057	293
875	2059	291
876	2060	288
877	2062	286
878	2063	284
879	2065	281
880	2066	279
881	2068	276
882	2070	274
883	2073	272
884	2075	269
885	2076	267
886	2078	264
887	2079	262
888	2081	259
889	2083	257
890	2084	255
891	2086	252
892	2088	250
893	2089	247
894	2091	245
895	2092	242
896	2094	240
897	2096	238
898	2098	235
899	2099	233
900	2101	230
901	2102	228
902	2104	226
903	2105	223
904	2107	221
905	2109	218
906	2110	216
907	2113	214
908	2114	211
909	2116	209
910	2117	206
911	2119	204
912	2120	202
913	2122	199
914	2123	197
915	2126	194
916	2128	192
917	2129	190
918	2131	187
919	2133	185
920	2135	183
921	2137	180
922	2139	178
923	2140	176
924	2142	173
925	2144	171
926	2145	168
927	2147	166
928	2149	164
929	2150	161
930	2152	159
931	2154	157
932	2156	154
933	2158	152
934	2160	150
935	2162	147
936	2164	145
937	2167	143
938	2168	140
939	2170	138
940	2171	136
941	2173	133
942	2175	131
943	2176	129
944	2179	126
945	2181	124
946	2183	122
947	2184	119
948	2186	117
949	2187	115
950	2189	112
951	2190	110
952	2192	108
953	2194	105
954	2196	103
955	2197	101
956	2199	98
957	2201	96
958	2202	94
959	2203	91
960	2206	89
961	2208	87
962	2210	84
963	2212	82
964	2213	80
965	2215	77
966	2217	75
967	2220	73
968	2222	71
969	2224	68
970	2227	66
971	2229	64
972	2230	61
973	2232	59
974	2234	57
975	2235	54
976	2237	52
977	2239	50
978	2241	48
979	2243	45
980	2245	43
981	2247	41
982	2249	38
983	2251	36
984	2252	34
985	2254	32
986	2256	29
987	2257	27
988	2259	25
989	2260	22
990	2261	20
991	2263	18
992	2265	15
993	2266	13
994	2268	11
995	2271	9
996	2275	6
997	2276	4
998	2278	2
999	2280	0
